sample_id,light_source,light_source_unit,broadening,sigma_ev,reference_concentration_molar,reference_path_cm,lambda_max_nm,molar_absorptivity_max_M_1_cm_1,absorptance_max,absorbed_flux,light_flux_total,absorbed_fraction,shape_overlap,num_excited_states
B1_td,LEDB4,relative,gaussian,0.3,1e-05,1.0,430.9077,75572.8096,0.824502,1633.415563,3131.540334,0.521601,0.632626,20
B3_td,LEDB4,relative,gaussian,0.3,1e-05,1.0,436.009,69263.1214,0.797059,1658.031375,3131.540334,0.529462,0.664269,20
B4_td,LEDB4,relative,gaussian,0.3,1e-05,1.0,438.4096,83495.8755,0.853768,1715.874311,3131.540334,0.547933,0.641782,20
B5_td,LEDB4,relative,gaussian,0.3,1e-05,1.0,401.9505,72995.829,0.813773,1783.980372,3131.540334,0.569681,0.700049,20
B6_td,LEDB4,relative,gaussian,0.3,1e-05,1.0,456.114,84468.7638,0.857008,1844.0668,3131.540334,0.588869,0.687122,20
B8_td,LEDB4,relative,gaussian,0.3,1e-05,1.0,444.111,74215.588,0.818931,1800.807819,3131.540334,0.575055,0.702202,20
B9_td,LEDB4,relative,gaussian,0.3,1e-05,1.0,434.9587,81300.2342,0.846185,1686.552677,3131.540334,0.53857,0.636468,20
B11_td,LEDB4,relative,gaussian,0.3,1e-05,1.0,437.8095,74817.6043,0.821424,1704.582239,3131.540334,0.544327,0.662663,20
B2_td,LEDB4,relative,gaussian,0.3,1e-05,1.0,439.4599,68079.8677,0.791454,1651.305305,3131.540334,0.527314,0.66626,20
B12_td,LEDB4,relative,gaussian,0.3,1e-05,1.0,406.7517,74090.3768,0.818408,1820.478952,3131.540334,0.581337,0.710326,20
B13_td,LEDB4,relative,gaussian,0.3,1e-05,1.0,445.1613,73111.1028,0.814267,1798.467852,3131.540334,0.574308,0.705306,20
B7_td,LEDB4,relative,gaussian,0.3,1e-05,1.0,446.3616,66854.1934,0.785485,1757.487443,3131.540334,0.561221,0.71449,20
B10_td,LEDB4,relative,gaussian,0.3,1e-05,1.0,442.7607,72726.2662,0.812614,1709.594292,3131.540334,0.545928,0.671817,20
